# config	label	construct_gmean	construct_p10	construct_p90	pos_random_gmean	pos_random_p10	pos_random_p90	at_random_gmean	at_random_p10	at_random_p90	ipt_bytes_gmean	ipt_bytes_p10	ipt_bytes_p90
c0r0e0l0	c0r0e0l0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
c0r0e1l0	c0r0e1l0	1.2092	1.0133	1.4418	1.0083	0.9471	1.0788	0.4993	0.3847	0.6703	1.1000	1.1000	1.1000
c1r0e0l0	c1r0e0l0	1.0897	0.9384	1.2363	1.0057	0.9370	1.0774	0.5464	0.4187	0.6952	1.1000	1.1000	1.1000
c1r0e1l0	c1r0e1l0	1.1267	0.9707	1.3011	0.9987	0.9250	1.0796	0.4977	0.3748	0.6738	1.2000	1.2000	1.2000
c0r0e0l1	c0r0e0l1	1.3524	1.0680	1.8379	0.9759	0.9103	1.0547	1.0125	0.9753	1.0526	1.3000	1.3000	1.3000
c0r1e0l0	c0r1e0l0	1.0610	0.9147	1.2327	0.9436	0.6309	1.1008	0.5219	0.3557	0.6829	1.3000	1.3000	1.3000
c0r0e1l1	c0r0e1l1	1.4222	1.0728	1.9757	0.9847	0.9157	1.0707	0.5081	0.3826	0.6742	1.4000	1.4000	1.4000
c0r1e1l0	\\textbf{c0r1e1l0}	1.1720	0.9049	1.4716	0.9510	0.6287	1.1302	0.4376	0.3350	0.5461	1.4000	1.4000	1.4000
c1r0e0l1	c1r0e0l1	1.3441	1.0472	1.8765	0.9949	0.9206	1.0920	0.5589	0.4368	0.7002	1.4000	1.4000	1.4000
c1r1e0l0	c1r1e0l0	1.1140	0.9159	1.3311	0.9527	0.6298	1.1306	0.4750	0.3376	0.5875	1.4000	1.4000	1.4000
c1r0e1l1	c1r0e1l1	1.3551	1.0781	1.7839	0.9748	0.8983	1.0662	0.4998	0.3686	0.6743	1.5000	1.5000	1.5000
c1r1e1l0	c1r1e1l0	1.1685	0.9637	1.4207	0.9449	0.6324	1.1209	0.4287	0.3349	0.5420	1.5000	1.5000	1.5000
c0r1e0l1	c0r1e0l1	1.2708	1.0458	1.5265	0.8929	0.6199	1.0663	0.5070	0.3389	0.6659	1.6000	1.6000	1.6000
c0r1e1l1	\\textbf{c0r1e1l1}	1.3529	1.1154	1.6478	0.9067	0.6341	1.0793	0.4288	0.3345	0.5418	1.7000	1.7000	1.7000
c1r1e0l1	c1r1e0l1	1.3629	1.1318	1.6377	0.8983	0.6310	1.0577	0.4795	0.3375	0.6052	1.7000	1.7000	1.7000
c1r1e1l1	c1r1e1l1	1.4002	1.1464	1.6903	0.9028	0.6312	1.0690	0.4322	0.3352	0.5439	1.8000	1.8000	1.8000
