# density	10x10x10_mean	10x10x10_p10	10x10x10_p90	100x10x10_mean	100x10x10_p10	100x10x10_p90	100x100x10_mean	100x100x10_p10	100x100x10_p90	100x100x100_mean	100x100x100_p10	100x100x100_p90
1	0.953333	0.9	1	0.921333	0.9	0.95	0.883667	0.872	0.8991	0.71288	0.71025	0.71592
2	0.89	0.8	0.955	0.876667	0.8545	0.895	0.849667	0.8435	0.85555	0.619527	0.61809	0.62086
5	0.782667	0.738	0.822	0.783067	0.7696	0.8	0.772313	0.76788	0.77608	0.543594	0.542756	0.544346
10	0.689	0.668	0.712	0.687433	0.6788	0.6981	0.682163	0.67917	0.68484	0.511302	0.510924	0.511646
25	0.552267	0.532	0.5684	0.553573	0.54796	0.55844	0.552881	0.550804	0.554712	0.469506	0.469275	0.469707
50	0.440733	0.4298	0.4522	0.44304	0.4394	0.44668	0.442448	0.441234	0.443354	0.389594	0.389182	0.389918
75	0.302756	0.289333	0.3124	0.301413	0.298107	0.305093	0.301426	0.300653	0.302204	0.239769	0.239479	0.240019
90	0.175481	0.168778	0.181111	0.174933	0.172678	0.177378	0.174097	0.17332	0.174947	0.107776	0.10766	0.107871
95	0.112596	0.108316	0.117053	0.111446	0.109179	0.113695	0.108104	0.107545	0.108667	0.0593342	0.0592577	0.0593957
98	0.057517	0.0539796	0.0612245	0.057381	0.0560612	0.0586837	0.0515677	0.0510806	0.0518816	0.0296112	0.0295804	0.0296439
99	0.0338047	0.0312121	0.0364646	0.0337239	0.0328182	0.0344848	0.0279404	0.0277242	0.0281495	0.0185547	0.0185261	0.0185961
100	0.001	0.001	0.001	0.0001	0.0001	0.0001	1e-05	1e-05	1e-05	1e-06	1e-06	1e-06
