# density	10x10x10_gmean	10x10x10_p10	10x10x10_p90	100x10x10_gmean	100x10x10_p10	100x10x10_p90	100x100x10_gmean	100x100x10_p10	100x100x10_p90	100x100x100_gmean	100x100x100_p10	100x100x100_p90
1	0.9273	0.7461	1.2794	1.1078	1.0489	1.1569	1.2285	1.1851	1.2628	1.2241	1.1602	1.2734
2	0.9183	0.8370	1.0978	1.1393	1.0820	1.2088	1.2205	1.1777	1.2624	1.1897	1.1311	1.2350
5	0.9101	0.8386	0.9847	1.1531	1.1112	1.1837	1.2170	1.1764	1.2606	1.2486	1.2083	1.3054
10	1.0457	0.9934	1.1276	1.1441	1.0894	1.1789	1.2144	1.1619	1.2444	1.2859	1.2185	1.3916
25	1.0138	0.9590	1.0856	1.1202	1.0879	1.1594	1.1659	1.1074	1.2057	1.5393	1.3997	1.6383
50	1.0191	0.9708	1.0640	1.0993	1.0592	1.1428	1.1180	1.0439	1.2251	1.4451	1.3469	1.5313
75	0.9576	0.9132	0.9998	1.0402	0.9867	1.0793	1.0222	0.9679	1.1686	1.1728	1.1009	1.2581
90	0.8559	0.8213	0.8900	0.9143	0.8552	0.9496	0.9772	0.9230	1.0129	0.8615	0.7575	0.9545
95	0.7320	0.7004	0.7697	0.8247	0.8017	0.8530	0.8537	0.8206	0.8934	0.7608	0.7047	0.8291
98	0.6031	0.5701	0.6395	0.7049	0.6780	0.7313	0.7373	0.7090	0.7759	0.6393	0.5941	0.6910
99	0.5193	0.4831	0.5626	0.5766	0.5500	0.5970	0.6244	0.5890	0.6498	0.5344	0.4909	0.6143
100	0.1079	0.1039	0.1124	0.0702	0.0663	0.0714	0.0453	0.0441	0.0463	0.0246	0.0235	0.0255
