# config	label	construct_gmean	construct_p10	construct_p90	pos_random_gmean	pos_random_p10	pos_random_p90	at_random_gmean	at_random_p10	at_random_p90	ipt_bytes_gmean	ipt_bytes_p10	ipt_bytes_p90
c0r0e0l0	c0r0e0l0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
c0r0e1l0	c0r0e1l0	1.0796	0.9732	1.2034	1.0178	0.9534	1.0983	0.4973	0.3572	0.6781	1.1000	1.1000	1.1000
c1r0e0l0	c1r0e0l0	1.1196	0.9407	1.3883	1.0139	0.9543	1.0870	0.5401	0.3988	0.7032	1.1000	1.1000	1.1000
c1r0e1l0	c1r0e1l0	1.1620	0.9675	1.4377	1.0194	0.9546	1.1013	0.4936	0.3591	0.6805	1.2000	1.2000	1.2000
c0r0e0l1	c0r0e0l1	1.1907	1.0325	1.3783	0.9842	0.9135	1.0832	1.0115	0.9769	1.0533	1.3000	1.3000	1.3000
c0r1e0l0	c0r1e0l0	1.0668	0.9228	1.2269	0.9528	0.6267	1.1156	0.5145	0.3379	0.6708	1.3000	1.3000	1.3000
c0r0e1l1	c0r0e1l1	1.2833	1.0059	1.7353	0.9893	0.9204	1.0736	0.5009	0.3613	0.6790	1.4000	1.4000	1.4000
c0r1e1l0	\\textbf{c0r1e1l0}	1.2084	0.9861	1.4840	0.9636	0.6341	1.1432	0.4304	0.3258	0.5603	1.4000	1.4000	1.4000
c1r0e0l1	c1r0e0l1	1.3351	1.0397	1.8016	0.9891	0.9232	1.0685	0.5520	0.4081	0.7155	1.4000	1.4000	1.4000
c1r1e0l0	c1r1e0l0	1.1884	0.9595	1.4801	0.9588	0.6313	1.1362	0.4680	0.3347	0.6000	1.4000	1.4000	1.4000
c1r0e1l1	c1r0e1l1	1.3652	1.0601	1.8104	0.9825	0.9111	1.0680	0.4964	0.3535	0.6760	1.5000	1.5000	1.5000
c1r1e1l0	c1r1e1l0	1.2516	1.0086	1.5923	0.9521	0.6297	1.1268	0.4235	0.3205	0.5619	1.5000	1.5000	1.5000
c0r1e0l1	c0r1e0l1	1.3209	1.0093	1.7209	0.8839	0.6163	1.0502	0.4986	0.3354	0.6593	1.6000	1.6000	1.6000
c0r1e1l1	\\textbf{c0r1e1l1}	1.3855	1.0668	1.7836	0.9136	0.6435	1.0798	0.4234	0.3194	0.5588	1.7000	1.7000	1.7000
c1r1e0l1	c1r1e0l1	1.4184	1.1035	1.8271	0.9134	0.6376	1.0922	0.4766	0.3349	0.6083	1.7000	1.7000	1.7000
c1r1e1l1	c1r1e1l1	1.4109	1.0828	1.8212	0.9050	0.6400	1.0705	0.4260	0.3214	0.5573	1.8000	1.8000	1.8000
